Calendar_id,Calendar_title,Calendar_description,Calendar_type,Calendar_category,Calendar_date,Calendar_remark
1,Holy Day,Today is Holy Day,Week Day,Holy Day,1/4/2024,Thursday
2,House Payment,Today is House Payment Day,Week Day,Payment Day,1/5/2024,Friday
3,Sunday,Today is Weekend Day,Weekend Day,Weekend,1/7/2024,Sunday
4,Holy Day,Today is Holy Day,Week Day,Holy Day,1/10/2024,Wednesday
5,Sunday,Today is Weekend Day,Week Day,Weekend,1/14/2024,Sunday
6,Holy Day,Today is Holy Day,Week Day,Holy Day,1/18/2024,Thursday
7,Sunday,Today is Weekend Day,Weekend Day,Weekend,1/21/2024,Sunday
8,Holy Day,Today is Holy Day,Week Day,Holy Day,1/25/2024,Thursday
9,Sunday,Today is Weekend Day,Weekend Day,Weekend,1/28/2024,Sunday
10,Holy Day,Today is Holy Day,Week Day,Holy Day,2/2/2024,Friday
11,Sunday,Today is Weekend Day,Weekend Day,Holy Day,2/4/2024,Sunday
12,House Payment,Today is House Payment Day,Weekend Day,Payment Day,2/5/2024,Monday
13,Holy Day,Today is Holy Day,Week Day,Holy Day,2/9/2024,Friday
14,Sunday,Today is Weekend Day,Weekend Day,Weekend,2/11/2024,Sunday
15,Holy Day,Today is Holy Day,Week Day,Holy Day,2/17/2024,Saturday
16,Sunday,Today is Weekend Day,Weekend Day,Weekend,2/18/2024,Sunday
17,Holy Day,Today is Holy Day,Week Day,Holy Day,2/24/2024,Saturday
18,Sunday,Today is Weekend Day,Weekend Day,Weekend,2/25/2024,Sunday
19,Holy Day,Today is Holy Day,Weekend Day,Holy Day,3/3/2024,Sunday
20,House Payment,Today is House Payment Day,Week Day,Payment Day,3/5/2024,Tuesday
21,Holy Day,Today is Holy Day,Week Day,Holy Day,3/9/2024,Saturday
22,Sunday,Today is Weekend Day,Weekend Day,Weekend,3/10/2024,Sunday
23,Holy Day,Today is Holy Day,Weekend Day,Holy Day,3/17/2024,Sunday
24,Holy Day,Today is Holy Day,Weekend Day,Holy Day,3/24/2024,Sunday
25,Sunday,Today is Weekend Day,Weekend Day,Weekend,3/31/2024,Sunday
26,Holy Day,Today is Holy Day,Week Day,Holy Day,4/1/2024,Monday
27,Sunday,Today is Weekend Day,Weekend Day,Weekend,4/7/2024,Sunday
28,Holy Day,Today is Holy Day,Week Day,Holy Day,4/8/2024,Monday
29,Sunday,Today is Weekend Day,Weekend Day,Weekend,4/14/2024,Sunday
30,Holy Day,Today is Holy Day,Week Day,Holy Day,4/16/2024,Tuesday
31,Sunday,Today is Weekend Day,Weekend Day,Weekend,4/21/2024,Sunday
32,Holy Day,Today is Holy Day,Week Day,Weekend,4/23/2024,Tuesday
33,Sunday,Today is Weekend Day,Weekend Day,Weekend,4/28/2024,Sunday
34,Holy Day,Today is Weekend Day,Week Day,Holy Day,5/1/2024,Wednesday
35,House Payment,Today is Weekend Day,Weekend Day,Weekend,5/5/2024,Sunday
36,Holy Day,Today is Holy Day,Week Day,Holy Day,5/7/2024,Tuesday
37,Sunday,Today is Weekend Day,Weekend Day,Weekend,5/12/2024,Sunday
38,Holy Day,Today is Holy Day,Week Day,Holy Day,5/15/2024,Wednesday
39,Sunday,Today is Weekend Day,Weekend Day,Weekend,5/19/2024,Sunday
40,Holy Day,Today is Holy Day,Week Day,Holy Day,5/22/2024,Wednesday
41,Sunday,Today is Weekend Day,Weekend Day,Weekend,5/26/2024,Sunday
42,Holy Day,Today is Holy Day,Week Day,Holy Day,5/30/2024,Thursday
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
